source,target,status,preserve_query_string,include_subdomains,subpath_matching,preserve_path_suffix
savthai.com/,https://savautomation.com/,301,false,true,false,false
savthai.com/product-list/,https://savautomation.com/products/,301,false,true,false,false
savthai.com/shop/,https://savautomation.com/products/,301,false,true,false,false
savthai.com/home/product/,https://savautomation.com/products/,301,false,true,false,false
savthai.com/home/promotion/,https://savautomation.com/products/,301,false,true,false,false
savthai.com/product-category/all-products/,https://savautomation.com/products/,301,false,true,false,false
savthai.com/product-category/motor-protection-system/,https://savautomation.com/products/series/eocr-ss-se2/,301,false,true,false,false
savthai.com/product-category/current-voltage-transformer/,https://savautomation.com/products/series/zct-ct/,301,false,true,false,false
savthai.com/product-category/medium-voltage-equipment/,https://savautomation.com/products/,301,false,true,false,false
savthai.com/product-category/power-fuse-link-3-3kv-24kv/,https://savautomation.com/products/,301,false,true,false,false
savthai.com/product-category/automatic-transfer-switch/,https://savautomation.com/products/,301,false,true,false,false
savthai.com/product/eocr-ss-schneider-samwha/,https://savautomation.com/products/series/eocr-ss-se2/,301,false,true,false,false
savthai.com/product/eocr-s-w-schneider-samwha/,https://savautomation.com/products/series/eocr-ss-se2/,301,false,true,false,false
savthai.com/product/eocr-3de-schneider-samwha/,https://savautomation.com/products/series/eocr-3d-3e/,301,false,true,false,false
savthai.com/eocr_3de/,https://savautomation.com/products/series/eocr-3d-3e/,301,false,true,false,false
savthai.com/product/doucr/,https://savautomation.com/products/DOUCR/,301,false,true,false,false
savthai.com/product/dsp-aol-10z7/,https://savautomation.com/products/DSP-AOL-10Z7/,301,false,true,false,false
savthai.com/product/dsp-aom-n/,https://savautomation.com/products/DSP-AOM-N/,301,false,true,false,false
savthai.com/uncategorized/dsp-aom-n/,https://savautomation.com/products/DSP-AOM-N/,301,false,true,false,false
savthai.com/product/dsp-vip-pm/,https://savautomation.com/products/DSP-PM-1Z7/,301,false,true,false,false
savthai.com/product/dsp-vip-rtm-70z7/,https://savautomation.com/products/DSP-VIP-RTM-70Z7/,301,false,true,false,false
savthai.com/dsp-vip-rtm-70z7/,https://savautomation.com/products/DSP-VIP-RTM-70Z7/,301,false,true,false,false
savthai.com/dsp-vip-rtm-70z7-2/,https://savautomation.com/products/DSP-VIP-RTM-70Z7/,301,false,true,false,false
savthai.com/product/current-transformer-ct-zct-overview/,https://savautomation.com/products/series/zct-ct/,301,false,true,false,false
savthai.com/article/492-introduction-to-protection-electronic-relay/,https://savautomation.com/learn/what-is-motor-protection-relay/,301,false,true,false,false
savthai.com/article/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%8B%E0%B8%95%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B9%82%E0%B8%AD%E0%B9%80%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%82%E0%B8%AB%E0%B8%A5%E0%B8%94/,https://savautomation.com/learn/eocr-nuisance-trip-settings/,301,false,true,false,false
savthai.com/article/%E0%B8%A7%E0%B8%B4%E0%B8%98%E0%B8%B5%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87-overload-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%96%E0%B8%B9%E0%B8%81%E0%B8%95%E0%B9%89%E0%B8%AD%E0%B8%87/,https://savautomation.com/learn/eocr-first-time-setup/,301,false,true,false,false
savthai.com/category/article/,https://savautomation.com/learn/,301,false,true,false,false
savthai.com/category/firmware-update/,https://savautomation.com/learn/,301,false,true,false,false
savthai.com/firmware-update/90/,https://savautomation.com/learn/,301,false,true,false,false
savthai.com/uncategorized/table-all-product-price-list/,https://savautomation.com/products/,301,false,true,false,false
savthai.com/contact-sav/,https://savautomation.com/contact/,301,false,true,false,false
savthai.com/my-account/,https://savautomation.com/contact/,301,false,true,false,false
savthai.com/cart/,https://savautomation.com/contact/,301,false,true,false,false
savthai.com/payment/,https://savautomation.com/contact/,301,false,true,false,false
